LEMMA,FREQUENCY,f/M,LOG F/M,,
εβδομήντα,12,8.85,1.95,Loading...,
εγγονή,12,8.85,1.95,Loading...,
εγκλωβίζω,12,8.85,1.95,Loading...,
εθνοσυνέλευση,12,8.85,1.95,Loading...,
εικοστός,12,8.85,1.95,Loading...,
ειλικρινής,12,8.85,1.95,искренний,
εκπροσωπώ,12,8.85,1.95,представлять,
εκστρατεύω,12,8.85,1.95,Loading...,
εκτρέφω,12,8.85,1.95,Loading...,
ελαία,12,8.85,1.95,Loading...,
ελαττώνω,12,8.85,1.95,Loading...,
ελεφαντόδοντο,12,8.85,1.95,Loading...,
έλκηθρο,12,8.85,1.95,Loading...,
εμβατήριο,12,8.85,1.95,Loading...,
ενεργοποιώ,12,8.85,1.95,Loading...,
ένταξη,12,8.85,1.95,Loading...,
εξαναγκάζω,12,8.85,1.95,Loading...,
εξοχικός,12,8.85,1.95,Loading...,
εξυπνάδα,12,8.85,1.95,Loading...,
επαναφέρω,12,8.85,1.95,Loading...,
επενδύω,12,8.85,1.95,Loading...,
επιβραβεύω,12,8.85,1.95,Loading...,
επιδημία,12,8.85,1.95,эпидемия,
επίκαιρος,12,8.85,1.95,Loading...,
επιρροή,12,8.85,1.95,Loading...,
ευεργετικός,12,8.85,1.95,Loading...,
ευλάβεια,12,8.85,1.95,Loading...,
ηγεσία,12,8.85,1.95,Loading...,
ηφαιστειογενής,12,8.85,1.95,Loading...,
θαλασσής,12,8.85,1.95,Loading...,
θήρα,12,8.85,1.95,Loading...,
θουκυδίδης,12,8.85,1.95,Loading...,
θύμα,12,8.85,1.95,Loading...,
θυμιατό,12,8.85,1.95,Loading...,
ιδρώνω,12,8.85,1.95,Loading...,
ιερουσαλήμ,12,8.85,1.95,Loading...,
ικάριος,12,8.85,1.95,Loading...,
ιουλιανός,12,8.85,1.95,Loading...,
ιπποπόταμος,12,8.85,1.95,Loading...,
ισοσύλλαβος,12,8.85,1.95,Loading...,
ισότιμος,12,8.85,1.95,Loading...,
καλαμάρι,12,8.85,1.95,Loading...,
καλαμάτα,12,8.85,1.95,Loading...,
κάλεσμα,12,8.85,1.95,Loading...,
κανέλα,12,8.85,1.95,корица,
κανονίζω,12,8.85,1.95,Loading...,
καπετάν,12,8.85,1.95,Loading...,
καταγάλανος,12,8.85,1.95,Loading...,
καύκασος,12,8.85,1.95,Кавказ,
κερκίδα,12,8.85,1.95,Loading...,
κίονας,12,8.85,1.95,столб,
κλαρίνο,12,8.85,1.95,Loading...,
κόκκος,12,8.85,1.95,Loading...,
κολυμβητής,12,8.85,1.95,Loading...,
κόμικ,12,8.85,1.95,Loading...,
κορινθιακός,12,8.85,1.95,Loading...,
κόσµος,12,8.85,1.95,мир,
κουρεύω,12,8.85,1.95,Loading...,
κρίμα,12,8.85,1.95,Loading...,
κρυψώνα,12,8.85,1.95,Loading...,
κτηνοτροφικός,12,8.85,1.95,скот,
κυψελίδα,12,8.85,1.95,альвеола,
λα,12,8.85,1.95,Loading...,
λακωνικός,12,8.85,1.95,Loading...,
λεβέντης,12,8.85,1.95,Loading...,
λιγοστεύω,12,8.85,1.95,Loading...,
λιτός,12,8.85,1.95,Loading...,
λογικό,12,8.85,1.95,Loading...,
λόγχη,12,8.85,1.95,Loading...,
μάθηση,12,8.85,1.95,Loading...,
μακάρι,12,8.85,1.95,Loading...,
μανταλάκι,12,8.85,1.95,Loading...,
μαντινάδα,12,8.85,1.95,Loading...,
μάντρα,12,8.85,1.95,Loading...,
ματζόρε,12,8.85,1.95,Loading...,
μαχαραγιάς,12,8.85,1.95,Loading...,
μεταδοτικός,12,8.85,1.95,Loading...,
μέτριος,12,8.85,1.95,Loading...,
μίλι,12,8.85,1.95,Loading...,
μολδοβλαχία,12,8.85,1.95,Loading...,
μοναξιά,12,8.85,1.95,Loading...,
μονολεκτικός,12,8.85,1.95,Loading...,
μουσουλμάνα,12,8.85,1.95,Loading...,
μπαγκέτα,12,8.85,1.95,Loading...,
μπουμπούκι,12,8.85,1.95,Loading...,
μυϊκός,12,8.85,1.95,Loading...,
ναυάγιο,12,8.85,1.95,Loading...,
νετρόνιο,12,8.85,1.95,Loading...,
νοικοκύρης,12,8.85,1.95,Loading...,
ξαναγίνομαι,12,8.85,1.95,Loading...,
ξενάγηση,12,8.85,1.95,Loading...,
ξένοιαστος,12,8.85,1.95,Loading...,
ξεφυλλίζω,12,8.85,1.95,Loading...,
ξύστρα,12,8.85,1.95,Loading...,
οικείος,12,8.85,1.95,Loading...,
οικοδόμημα,12,8.85,1.95,Loading...,
οισοφάγος,12,8.85,1.95,пищевод,
ολόχρυσος,12,8.85,1.95,Loading...,
ομιλητής,12,8.85,1.95,Loading...,
οπτικός,12,8.85,1.95,Loading...,
παιδαγωγός,12,8.85,1.95,Loading...,
παιδίατρος,12,8.85,1.95,Loading...,
παλαµάς,12,8.85,1.95,Loading...,
παπαφλέσσας,12,8.85,1.95,Loading...,
παραλήγουσα,12,8.85,1.95,Loading...,
πάροδος,12,8.85,1.95,Loading...,
παροιμιόμυθος,12,8.85,1.95,Loading...,
παροξύτονος,12,8.85,1.95,парокситон,
πάρος,12,8.85,1.95,Loading...,
πένα,12,8.85,1.95,Loading...,
περιεκτικότητα,12,8.85,1.95,Loading...,
πετονιά,12,8.85,1.95,Loading...,
πιπέρι,12,8.85,1.95,Loading...,
πλευρό,12,8.85,1.95,Loading...,
πολυθρόνα,12,8.85,1.95,Loading...,
πολύφημος,12,8.85,1.95,Loading...,
προικίζω,12,8.85,1.95,пожертвовать,
πρόκριτος,12,8.85,1.95,Loading...,
πρόποδες,12,8.85,1.95,Loading...,
προπονώ,12,8.85,1.95,Я тренируюсь,
προσγείωση,12,8.85,1.95,посадка,
προστατευτικός,12,8.85,1.95,Loading...,
πυθμένας,12,8.85,1.95,Loading...,
πωλητής,12,8.85,1.95,Loading...,
ρητορικός,12,8.85,1.95,риторика,
ρόδος,12,8.85,1.95,Родос,
ρουμποτύρης,12,8.85,1.95,Loading...,
σαίξπηρ,12,8.85,1.95,Loading...,
σαμοθράκη,12,8.85,1.95,Loading...,
σαχάρα,12,8.85,1.95,Loading...,
σήμερον,12,8.85,1.95,Loading...,
σκαρώνω,12,8.85,1.95,Loading...,
σκέλος,12,8.85,1.95,Loading...,
σκηνογράφος,12,8.85,1.95,Loading...,
σκόπιμος,12,8.85,1.95,Loading...,
σκυτάλη,12,8.85,1.95,Loading...,
σλόγκαν,12,8.85,1.95,Loading...,
σούρουπο,12,8.85,1.95,Loading...,
σπουδαιότητα,12,8.85,1.95,Loading...,
στασιαστής,12,8.85,1.95,Loading...,
στιγμιότυπο,12,8.85,1.95,Loading...,
συγχαίρω,12,8.85,1.95,Loading...,
συγχαρητήρια,12,8.85,1.95,Loading...,
συλλέκτης,12,8.85,1.95,Loading...,
συλλογιέμαι,12,8.85,1.95,Loading...,
συναισθηματικός,12,8.85,1.95,Loading...,
συνθεσάιζερ,12,8.85,1.95,Loading...,
συνίσταμαι,12,8.85,1.95,Loading...,
συντονισμός,12,8.85,1.95,Loading...,
συνύπαρξη,12,8.85,1.95,Loading...,
σχολάω,12,8.85,1.95,Loading...,
τάκης,12,8.85,1.95,Loading...,
ταχτάρισμα,12,8.85,1.95,Loading...,
τηλεγράφημα,12,8.85,1.95,Loading...,
τέμενος,12,8.85,1.95,Loading...,
τετραπλάσιος,12,8.85,1.95,Loading...,
τηλέμαχος,12,8.85,1.95,Loading...,
τονικός,12,8.85,1.95,Loading...,
τραυµατισµός,12,8.85,1.95,Loading...,
τραυματισμός,12,8.85,1.95,Loading...,
τρικυμία,12,8.85,1.95,Loading...,
τρίλιζα,12,8.85,1.95,Loading...,
τρίχα,12,8.85,1.95,Loading...,
τρομοκρατώ,12,8.85,1.95,Loading...,
τρόμος,12,8.85,1.95,Loading...,
τροφοδοτώ,12,8.85,1.95,Loading...,
τσάπλιν,12,8.85,1.95,Loading...,
τσουλήθρα,12,8.85,1.95,Loading...,
υδράργυρος,12,8.85,1.95,Loading...,
υλικός,12,8.85,1.95,Loading...,
υπερβαίνω,12,8.85,1.95,Loading...,
υποδιαίρεση,12,8.85,1.95,Loading...,
υφασμάτινος,12,8.85,1.95,Loading...,
φαντάζω,12,8.85,1.95,Loading...,
φαρμακευτικός,12,8.85,1.95,Loading...,
φεραίος,12,8.85,1.95,Loading...,
φθορά,12,8.85,1.95,Loading...,
φιλιώ,12,8.85,1.95,Loading...,
φιλολογία,12,8.85,1.95,Loading...,
φιλοξενία,12,8.85,1.95,Loading...,
φιλόξενος,12,8.85,1.95,Loading...,
φορέας,12,8.85,1.95,Loading...,
φουντωτός,12,8.85,1.95,Loading...,
φρουτοπία,12,8.85,1.95,Loading...,
φυλετικός,12,8.85,1.95,Loading...,
χαμός,12,8.85,1.95,Loading...,
χάραμα,12,8.85,1.95,Loading...,
χαρτοσακούλα,12,8.85,1.95,Loading...,
χιαστί,12,8.85,1.95,Loading...,
χορδόφωνο,12,8.85,1.95,Loading...,
χούφτα,12,8.85,1.95,Loading...,
ψέλνω,12,8.85,1.95,Loading...,
ψητός,12,8.85,1.95,Loading...,
ωμός,12,8.85,1.95,Loading...,
αγριοκάτσικο,11,8.12,1.91,Loading...,
αγριοκουμαριά,11,8.12,1.91,Loading...,
αγριόχοιρος,11,8.12,1.91,Loading...,
αδιάβροχος,11,8.12,1.91,Loading...,
αδιαφορώ,11,8.12,1.91,Loading...,
αιμοφόρος,11,8.12,1.91,Loading...,
αιρετικός,11,8.12,1.91,Loading...,
αιωνόβιος,11,8.12,1.91,Loading...,
ακροβάτης,11,8.12,1.91,Loading...,
ακτογραμμή,11,8.12,1.91,Loading...,
ακυρώνω,11,8.12,1.91,Loading...,
αλέτρι,11,8.12,1.91,Loading...,
αλκίνοος,11,8.12,1.91,Loading...,
άλφα,11,8.12,1.91,Loading...,
αμπελώνας,11,8.12,1.91,Loading...,
άμυλο,11,8.12,1.91,Loading...,
ανάγνωσμα,11,8.12,1.91,Loading...,
αναμφισβήτητος,11,8.12,1.91,Loading...,
ανανεώνω,11,8.12,1.91,Loading...,
ανεβοκατεβαίνω,11,8.12,1.91,Loading...,
ανεξέλεγκτος,11,8.12,1.91,Loading...,
ανοιγοκλείνω,11,8.12,1.91,Loading...,
ανταρκτική,11,8.12,1.91,Антарктида,
αντικριστός,11,8.12,1.91,Loading...,
αντιληπτός,11,8.12,1.91,воспринимаемый,
αντιπροσωπευτικός,11,8.12,1.91,представитель,
αντίσωμα,11,8.12,1.91,Loading...,
απαγγελία,11,8.12,1.91,Loading...,
άπληστος,11,8.12,1.91,Loading...,
αποδημητικός,11,8.12,1.91,миграционный,
αποκριάτικος,11,8.12,1.91,Loading...,
απομάκρυνση,11,8.12,1.91,Loading...,
απουσία,11,8.12,1.91,Loading...,
αποφυγή,11,8.12,1.91,Loading...,
αριθμητήριο,11,8.12,1.91,Loading...,
αρμενίζω,11,8.12,1.91,Loading...,
αρχιεπίσκοπος,11,8.12,1.91,Loading...,
αρχιστράτηγος,11,8.12,1.91,Loading...,
ασταμάτητος,11,8.12,1.91,Loading...,
αυτοδιοίκηση,11,8.12,1.91,Loading...,
αυτοκρατορικός,11,8.12,1.91,Loading...,
βαλς,11,8.12,1.91,Loading...,
βάνδαλος,11,8.12,1.91,Loading...,
βάρβαρος,11,8.12,1.91,Loading...,
βαρετός,11,8.12,1.91,Loading...,
βιασύνη,11,8.12,1.91,Loading...,
βιότοπος,11,8.12,1.91,Loading...,
βλέφαρο,11,8.12,1.91,Loading...,
βόμβα,11,8.12,1.91,Loading...,
βοσκή,11,8.12,1.91,Loading...,
γελοιογράφος,11,8.12,1.91,Loading...,
γεράκι,11,8.12,1.91,Loading...,
γιώτα,11,8.12,1.91,йота,
γκολ,11,8.12,1.91,Loading...,
γλύκισμα,11,8.12,1.91,Loading...,
γορίλας,11,8.12,1.91,Loading...,
γρίπη,11,8.12,1.91,Loading...,
δήλωση,11,8.12,1.91,Loading...,
διαγώνια,11,8.12,1.91,Loading...,
διακονία,11,8.12,1.91,Loading...,
διαλαλώ,11,8.12,1.91,Loading...,
διάσπαρτος,11,8.12,1.91,Loading...,
δικάζω,11,8.12,1.91,судить,
δικαιολογία,11,8.12,1.91,Loading...,
δισταγμός,11,8.12,1.91,Loading...,
δογματικός,11,8.12,1.91,Loading...,
δρομέας,11,8.12,1.91,Loading...,
δρυμός,11,8.12,1.91,лес,
δυσαρεστώ,11,8.12,1.91,сердить,
δωρικός,11,8.12,1.91,Loading...,
εγγραφή,11,8.12,1.91,Loading...,
έγκυος,11,8.12,1.91,Loading...,
εικονόγραμμα,11,8.12,1.91,Loading...,
εκδοχή,11,8.12,1.91,версия,
έκθλιψη,11,8.12,1.91,Loading...,
εκμετάλλευση,11,8.12,1.91,Loading...,
εκπληρώνω,11,8.12,1.91,Loading...,
ελεημοσύνη,11,8.12,1.91,Loading...,
ελικόπτερο,11,8.12,1.91,Loading...,
ενυδρείο,11,8.12,1.91,Loading...,
εξάσκηση,11,8.12,1.91,Loading...,
επαρχιακός,11,8.12,1.91,Loading...,
επείγων,11,8.12,1.91,Loading...,
επιβιβάζω,11,8.12,1.91,Loading...,
επιβλητικός,11,8.12,1.91,Loading...,
εύμαιος,11,8.12,1.91,Loading...,
ευσεβής,11,8.12,1.91,Loading...,
εφοριακός,11,8.12,1.91,Loading...,
εφόσον,11,8.12,1.91,Loading...,
ζελατίνα,11,8.12,1.91,Loading...,
ζητιάνος,11,8.12,1.91,Loading...,
ηλιόλουστος,11,8.12,1.91,Loading...,
θεολογία,11,8.12,1.91,Loading...,
θρίαμβος,11,8.12,1.91,Loading...,
ιατρικός,11,8.12,1.91,Loading...,
ιδανικός,11,8.12,1.91,Loading...,
ιππέας,11,8.12,1.91,Loading...,
ιρλανδία,11,8.12,1.91,Loading...,
ισπανός,11,8.12,1.91,Loading...,
ιώδιο,11,8.12,1.91,Loading...,
καημός,11,8.12,1.91,Loading...,
καθαρεύουσα,11,8.12,1.91,Loading...,
καθημερινότητα,11,8.12,1.91,повседневная жизнь,
καθιστικός,11,8.12,1.91,Loading...,
καλούπι,11,8.12,1.91,Loading...,
καλυτερεύω,11,8.12,1.91,Loading...,
κάνουν,11,8.12,1.91,Loading...,
καραμανλής,11,8.12,1.91,Loading...,
καρδιογράφημα,11,8.12,1.91,Loading...,
κατσίκι,11,8.12,1.91,Loading...,
καυτός,11,8.12,1.91,Loading...,
κειμήλιο,11,8.12,1.91,фамильная реликвия,
κερκίνη,11,8.12,1.91,Loading...,
κλειδώνω,11,8.12,1.91,Loading...,
κλήρος,11,8.12,1.91,Loading...,
κλώσσα,11,8.12,1.91,Loading...,
κόδρος,11,8.12,1.91,Loading...,
κοινοτικός,11,8.12,1.91,сообщество,
κοινωνώ,11,8.12,1.91,Loading...,
κοίτη,11,8.12,1.91,Loading...,
κολοτούμπα,11,8.12,1.91,Loading...,
κολυμπήθρα,11,8.12,1.91,Loading...,
κομπολόι,11,8.12,1.91,Loading...,
κορίνθιος,11,8.12,1.91,Loading...,
κόρινθος,11,8.12,1.91,Loading...,
κοφίνι,11,8.12,1.91,Loading...,
κόψη,11,8.12,1.91,Loading...,
κρίνο,11,8.12,1.91,Loading...,
κρότος,11,8.12,1.91,Loading...,
κυβίστηση,11,8.12,1.91,Loading...,
κυματίζω,11,8.12,1.91,Loading...,
κύρος,11,8.12,1.91,Loading...,
λαζαράκι,11,8.12,1.91,Loading...,
λείος,11,8.12,1.91,Loading...,
λησμονώ,11,8.12,1.91,Loading...,
λιχουδιά,11,8.12,1.91,Loading...,
λυρισμός,11,8.12,1.91,Loading...,
μαγείρεμα,11,8.12,1.91,Loading...,
μαγείρισσα,11,8.12,1.91,Loading...,
μακραίωνος,11,8.12,1.91,Loading...,
μανιτάρι,11,8.12,1.91,Loading...,
μάντης,11,8.12,1.91,Loading...,
μαντώ,11,8.12,1.91,Loading...,
μαρίλω,11,8.12,1.91,Loading...,
μαριώ,11,8.12,1.91,Loading...,
μάστορας,11,8.12,1.91,Loading...,
μάταια,11,8.12,1.91,Loading...,
μεδιόλανα,11,8.12,1.91,Loading...,
μεμιάς,11,8.12,1.91,сразу,
μεσοποταμία,11,8.12,1.91,Loading...,
μεσοστιχίδα,11,8.12,1.91,Loading...,
μεσσηνία,11,8.12,1.91,Loading...,
μεταξωτός,11,8.12,1.91,Loading...,
μηρός,11,8.12,1.91,бедро,
μίσος,11,8.12,1.91,Loading...,
μνήμα,11,8.12,1.91,Loading...,
μούστος,11,8.12,1.91,Loading...,
μπροστέλα,11,8.12,1.91,Loading...,
ναπολέοντας,11,8.12,1.91,Loading...,
ναυαγώ,11,8.12,1.91,Loading...,
νέστορας,11,8.12,1.91,Loading...,
νηπιαγωγείο,11,8.12,1.91,Loading...,
νοητός,11,8.12,1.91,Loading...,
νορμανδός,11,8.12,1.91,Loading...,
ντουλάπα,11,8.12,1.91,Loading...,
ξάφνου,11,8.12,1.91,Loading...,
ξεφορτώνω,11,8.12,1.91,Loading...,
ξίφος,11,8.12,1.91,Loading...,
οδοντίατρος,11,8.12,1.91,Loading...,
οδόφραγμα,11,8.12,1.91,Loading...,
ολοκαύτωμα,11,8.12,1.91,Loading...,
ολοκλήρωση,11,8.12,1.91,Loading...,
όμικρον,11,8.12,1.91,Loading...,
ομοίωμα,11,8.12,1.91,Loading...,
οπουδήποτε,11,8.12,1.91,Loading...,
οργανικός,11,8.12,1.91,Loading...,
ουράνιος,11,8.12,1.91,Loading...,
παλαιολιθικός,11,8.12,1.91,Loading...,
πανέξυπνος,11,8.12,1.91,Loading...,
παντοδύναμος,11,8.12,1.91,Loading...,
παπουτσώνω,11,8.12,1.91,обувь,
παράλογος,11,8.12,1.91,Loading...,
παραμυθάς,11,8.12,1.91,Loading...,
παρασκήνιο,11,8.12,1.91,Loading...,
παρεμβαίνω,11,8.12,1.91,Loading...,
παρότι,11,8.12,1.91,Loading...,
πασχαλιά,11,8.12,1.91,Loading...,
πάτημα,11,8.12,1.91,Loading...,
παχυσαρκία,11,8.12,1.91,Loading...,
πειστικός,11,8.12,1.91,Loading...,
πελοποννήσιος,11,8.12,1.91,Loading...,
πέπλο,11,8.12,1.91,Loading...,
περιήγηση,11,8.12,1.91,Loading...,
περιηγητής,11,8.12,1.91,Loading...,
περικεφαλαία,11,8.12,1.91,Loading...,
περιττός,11,8.12,1.91,Loading...,
περιτύλιγμα,11,8.12,1.91,Loading...,
περιφέρω,11,8.12,1.91,Loading...,
πετοσφαίριση,11,8.12,1.91,Loading...,
πετσέτα,11,8.12,1.91,полотенце,
πικάσο,11,8.12,1.91,Loading...,
πλαϊνός,11,8.12,1.91,Loading...,
πνέω,11,8.12,1.91,Loading...,
ποινή,11,8.12,1.91,Loading...,
πολιούχος,11,8.12,1.91,Loading...,
πολυτέλεια,11,8.12,1.91,Loading...,
πούπουλο,11,8.12,1.91,Loading...,
πρέβεζα,11,8.12,1.91,Loading...,
πριόνι,11,8.12,1.91,пила,
πρόβλεψη,11,8.12,1.91,Loading...,
πρόκληση,11,8.12,1.91,испытание,
προληπτικός,11,8.12,1.91,Loading...,
προσβολή,11,8.12,1.91,Loading...,
πρόσκοπος,11,8.12,1.91,Loading...,
πρόσφορο,11,8.12,1.91,Loading...,
προτίμηση,11,8.12,1.91,предпочтение,
προφανώς,11,8.12,1.91,Loading...,
προφορά,11,8.12,1.91,Loading...,
πρωτεΐνη,11,8.12,1.91,Loading...,
πρωτοχρονιάτικος,11,8.12,1.91,Loading...,
πυροβολισμός,11,8.12,1.91,Loading...,
ριζικό,11,8.12,1.91,Loading...,
ρινόκερος,11,8.12,1.91,носорог,
ρίο,11,8.12,1.91,Loading...,
ροδόπη,11,8.12,1.91,Loading...,
ρόπαλο,11,8.12,1.91,Loading...,
σακούλι,11,8.12,1.91,Loading...,
σαλάμι,11,8.12,1.91,Loading...,
σαλεύω,11,8.12,1.91,Loading...,
σίμων,11,8.12,1.91,Loading...,
σκλαβώνω,11,8.12,1.91,Loading...,
σκοπιά,11,8.12,1.91,Loading...,
σκορ,11,8.12,1.91,Loading...,
σκούφος,11,8.12,1.91,Loading...,
σκυρόδεμα,11,8.12,1.91,конкретный,
σκυφτός,11,8.12,1.91,Loading...,
σπατάλη,11,8.12,1.91,Loading...,
σπίθα,11,8.12,1.91,Loading...,
σπιτικός,11,8.12,1.91,Loading...,
στάρι,11,8.12,1.91,Loading...,
στιγμιαία,11,8.12,1.91,Loading...,
στοά,11,8.12,1.91,Loading...,
στοργικός,11,8.12,1.91,Loading...,
στρυμόνας,11,8.12,1.91,Loading...,
σύγχυση,11,8.12,1.91,Loading...,
συζυγία,11,8.12,1.91,Loading...,
συμβιώνω,11,8.12,1.91,Loading...,
συμπαθητικός,11,8.12,1.91,Loading...,
συμπληγάδες,11,8.12,1.91,Loading...,
σύμπτωμα,11,8.12,1.91,Loading...,
συμφέρω,11,8.12,1.91,Loading...,
συνυπάρχω,11,8.12,1.91,Loading...,
σφοδρός,11,8.12,1.91,Loading...,
ταυροκαθάψια,11,8.12,1.91,Loading...,
τεμπέλης,11,8.12,1.91,Loading...,
τίβερης,11,8.12,1.91,Loading...,
τιτίνα,11,8.12,1.91,Loading...,
τούμπα,11,8.12,1.91,Loading...,
τραύµα,11,8.12,1.91,Loading...,
τραύμα,11,8.12,1.91,Loading...,
τρελούτσικος,11,8.12,1.91,Loading...,
τρίαινα,11,8.12,1.91,Loading...,
τρόλεϊ,11,8.12,1.91,Loading...,
τρούφα,11,8.12,1.91,Loading...,
τσακώνω,11,8.12,1.91,ловить,
τσίρκο,11,8.12,1.91,Loading...,
τσίχλα,11,8.12,1.91,Loading...,
τυραννία,11,8.12,1.91,Loading...,
υδρογραφικός,11,8.12,1.91,гидрографический,
υπόλειµµα,11,8.12,1.91,Loading...,
φιλισταίοι,11,8.12,1.91,Loading...,
φλάουτο,11,8.12,1.91,Loading...,
φλογερός,11,8.12,1.91,Loading...,
φορολογικός,11,8.12,1.91,Loading...,
φτερουγίζω,11,8.12,1.91,Loading...,
φωλιάζω,11,8.12,1.91,Loading...,
φωναχτός,11,8.12,1.91,Loading...,
φωνούλα,11,8.12,1.91,Loading...,
χαϊκού,11,8.12,1.91,хайку,
χάλι,11,8.12,1.91,Loading...,
χαραλάμπης,11,8.12,1.91,Loading...,
χάρυβδη,11,8.12,1.91,Харибда,
χειμερινός,11,8.12,1.91,Loading...,
χιονένιος,11,8.12,1.91,Loading...,
χλιαρός,11,8.12,1.91,Loading...,
χορωδία,11,8.12,1.91,Loading...,
χρυσοκέντητος,11,8.12,1.91,Loading...,
ψαλτήρι,11,8.12,1.91,псалтырь,
ψελλίζω,11,8.12,1.91,Loading...,
ψοφώ,11,8.12,1.91,Loading...,
ψυχραιμία,11,8.12,1.91,Loading...,
αβιοτικός ,10,7.38,1.87,Loading...,
αγάλλομαι,10,7.38,1.87,Loading...,
αγγειοπλάστης,10,7.38,1.87,Loading...,
αγησίλαος,10,7.38,1.87,Loading...,
άγκιστρο,10,7.38,1.87,Loading...,
αγνή,10,7.38,1.87,Loading...,
αγράμματος,10,7.38,1.87,Loading...,
άγχος,10,7.38,1.87,Loading...,
αδικαιολόγητος,10,7.38,1.87,Loading...,
αθόρυβος,10,7.38,1.87,Loading...,
αιήτης,10,7.38,1.87,Loading...,
ακίνδυνος,10,7.38,1.87,Loading...,
ακινητοποιώ,10,7.38,1.87,Loading...,
αλέξης,10,7.38,1.87,Loading...,
αλληλοβοήθεια,10,7.38,1.87,взаимопомощь,
αλλοίωση,10,7.38,1.87,Loading...,
αμελώ,10,7.38,1.87,Loading...,
αμύνομαι,10,7.38,1.87,Loading...,
αναβλύζω,10,7.38,1.87,Loading...,
ανάδοχος,10,7.38,1.87,Loading...,
ανακλώ,10,7.38,1.87,Loading...,
ανάλαφρος,10,7.38,1.87,Loading...,
αναλογώ,10,7.38,1.87,Loading...,
ανατρέπω,10,7.38,1.87,Loading...,
άναυδος,10,7.38,1.87,ошеломленный,
αναψυχή,10,7.38,1.87,Loading...,
ανδρομάχη,10,7.38,1.87,Loading...,
ανθρωπογενής,10,7.38,1.87,Loading...,
ανισοσύλλαβος,10,7.38,1.87,двусложный,
ανιψιός,10,7.38,1.87,Loading...,
ανταγωνισμός,10,7.38,1.87,Loading...,
ανταμοιβή,10,7.38,1.87,Loading...,
αντιπαράθεση,10,7.38,1.87,Loading...,
αντιπροσωπεία,10,7.38,1.87,Loading...,
αντίχειρας,10,7.38,1.87,Loading...,
αξεπέραστος,10,7.38,1.87,Loading...,
απεργία,10,7.38,1.87,Loading...,
απλοποίηση,10,7.38,1.87,Loading...,
απογευματινός,10,7.38,1.87,Loading...,
απογοήτευση,10,7.38,1.87,Loading...,
αποτύπωμα,10,7.38,1.87,Loading...,
απρόσεκτος,10,7.38,1.87,Loading...,
άργυρος,10,7.38,1.87,Loading...,
άριος,10,7.38,1.87,Loading...,
αρίωνας,10,7.38,1.87,Loading...,
αρκάδι,10,7.38,1.87,Loading...,
αρμυρός,10,7.38,1.87,соленый,
άροτρο,10,7.38,1.87,Loading...,
αρπαγή,10,7.38,1.87,Loading...,
αρχηγία,10,7.38,1.87,Loading...,
αρχιτεκτονικός,10,7.38,1.87,архитектурный,
ασβέστιο,10,7.38,1.87,Loading...,
αστραφτερός,10,7.38,1.87,Loading...,
ατελής,10,7.38,1.87,Loading...,
ατσάλι,10,7.38,1.87,Loading...,
αυτονομία,10,7.38,1.87,Loading...,
αυτόχθων,10,7.38,1.87,Loading...,
αφανισμός,10,7.38,1.87,уничтожение,
αφηγηματικός,10,7.38,1.87,Loading...,
αφηγητής,10,7.38,1.87,Loading...,
αφθονία,10,7.38,1.87,Loading...,
αχτίδα,10,7.38,1.87,Loading...,
βάθρο,10,7.38,1.87,Loading...,
βαπτιστής,10,7.38,1.87,Loading...,
βέροια,10,7.38,1.87,Вероя,
βιβλιοπαρουσίαση,10,7.38,1.87,Loading...,
βιέννη,10,7.38,1.87,Loading...,
βλάση,10,7.38,1.87,Loading...,
βότανο,10,7.38,1.87,Loading...,
βουλώνω,10,7.38,1.87,Loading...,
βραζιλία,10,7.38,1.87,Loading...,
βραστός,10,7.38,1.87,Loading...,
βύρωνας,10,7.38,1.87,Loading...,
γαϊτανάκι,10,7.38,1.87,Loading...,
γαλακτοκομικός,10,7.38,1.87,Loading...,
γαληνεύω,10,7.38,1.87,Loading...,
γαλιλαίος,10,7.38,1.87,Loading...,
γδύνω,10,7.38,1.87,Loading...,
γεύομαι,10,7.38,1.87,Loading...,
γιβραλτάρ,10,7.38,1.87,Loading...,
γλασέ,10,7.38,1.87,Loading...,
γνώστης,10,7.38,1.87,Loading...,
γουδί,10,7.38,1.87,Loading...,
γυαλίζω,10,7.38,1.87,Loading...,
γυρισμός,10,7.38,1.87,Loading...,
γύφτος,10,7.38,1.87,Loading...,
δαιμόνιο,10,7.38,1.87,Loading...,
δεικτικός,10,7.38,1.87,Loading...,
δειλινό,10,7.38,1.87,Loading...,
δεκαεννέα,10,7.38,1.87,Loading...,
δεκανέας,10,7.38,1.87,Loading...,
δεκατόμετρο,10,7.38,1.87,Loading...,
δεκάχρονος,10,7.38,1.87,Loading...,
δεντροδιάγραμμα,10,7.38,1.87,Loading...,
δερβενάκι,10,7.38,1.87,Loading...,
διακίνηση,10,7.38,1.87,Loading...,
διαλογή,10,7.38,1.87,Loading...,
διαμαρτυρώ,10,7.38,1.87,Loading...,
διαπολιτισμικός,10,7.38,1.87,Loading...,
διαστέλλω,10,7.38,1.87,Loading...,
διατύπωση,10,7.38,1.87,Loading...,
διαχωριστικός,10,7.38,1.87,Loading...,
διυλιστήριο,10,7.38,1.87,Loading...,
δονώ,10,7.38,1.87,Loading...,
δοξολογία,10,7.38,1.87,Loading...,
